Year,Category,Name,Location,Province,Coordinates
2024,Power Plants,PT PLN Nusantara Power - PLTGU Muara Karang Blok 3,Jakarta,ID-JK,"[-6.111365, 106.783763]"
2024,Power Plants,PT PLN Indonesia Power - PLTGU Priok Blok 4,Jakarta,ID-JK,"[-6.108239, 106.870146]"
2024,Power Plants,PT PLN MCTN - PLTG Duri Riau,"Bengkalis, Riau",ID-RI,"[1.071916, 101.282082]"
2024,Power Plants,PT PLN Batam - PLTG Parit Baru,"Mempawah, West Kalimantan",ID-KB,"[0.058535822510605275, 109.20364392731607]"
2024,Power Plants,PT PLN Batam - PLTG MPP Tarahan,Lampung,ID-LA,"[-5.518636, 105.345846]"
2024,Power Plants,PT PLN Indonesia Power - PLTG Payo Selincah,Jambi,ID-JA,"[-1.596287, 103.646358]"
2024,Power Plants,PT PLN Batam - PLTG MPP Suge Belitung,"Belitung, Bangka Belitung Islands",ID-BB,"[-2.8905936630520053, 107.56514959662948]"
2024,Power Plants,PT PLN (Persero) - PLTA Jatigede,"Sumedang, West Java",ID-JB,"[-6.500268, 108.061369]"
2024,Power Plants,PT PLN (Persero) - PLTMGU Lombok Peaker,"Mataram, West Nusa Tenggara",ID-NB,"[-8.589414, 116.074411]"
2024,Transmission & Distribution,PT PLN (Persero) - GITET Paiton,"Probolinggo, East Java",ID-JI,"[-7.718447, 113.581561]"
2025,Power Plants,PT PLN Batam - PLTG MPP Nias,"Gunungsitoli, North Sumatra",ID-SU,"[1.209893, 97.678177]"
2025,Power Plants,PT PLN Batam - PLTG MPP Parit Baru,"Mempawah, West Kalimantan",ID-KB,"[0.058535822510605275, 109.20364392731607]"
2025,Power Plants,PT PLN Batam - PLTG MPP Suge Belitung,"Belitung, Bangka Belitung Islands",ID-BB,"[-2.8905936630520053, 107.56514959662948]"
2025,Power Plants,PT PLN Batam - PLTG MPP Suppa,"Pinrang, South Sulawesi",ID-SN,"[-3.970387, 119.624919]"
2025,Power Plants,PT Pupuk Kujang,"Karawang, West Java",ID-JB,"[-6.4065854527373824, 107.42797819615548]"
2025,Power Plants,PT PLN (Persero) - PLTU Sulsel Barru 2,"Barru, South Sulawesi",ID-SN,"[-4.29127652181621, 119.62916001198023]"
2025,Power Plants,PT PLN (Persero) - PLTU Kalselteng 2,"Tanah Laut, South Kalimantan",ID-KS,"[-3.552907, 115.062298]"
2025,Transmission & Distribution,"PT PLN (Persero) - GITET Cibatu IBT 1,2,3,&4","Bekasi, West Java",ID-JB,"[-6.37575064177077, 107.16073561017302]"
2025,Transmission & Distribution,PT PLN (Persero) - GITET New Aur Duri IBT 1,Jambi,ID-JA,"[-1.412813, 103.323343]"
2025,Transmission & Distribution,PT PLN (Persero) - SKTT Suramadu Sirkit 1-4,"Surabaya, East Java",ID-JI,"[-7.2083616097090415, 112.77869829206186]"
2025,Power Plants,PT PLN Indonesia Power - PLTU Adipala Unit 1-2,"Cilacap, Central Java",ID-JT,"[-7.680681045373273, 109.13682846967431]"
2025,Power Plants,PT PLN Indonesia Power - PLTP Gunung Salak Unit 1-3,"Bogor, West Java",ID-JB,"[-6.741441, 106.646913]"
2025,Power Plants,PT PLN Indonesia Power - PLTP Kamojang Unit 1-3,"Bogor, West Java",ID-JB,"[-7.139102, 107.785414]"
2025,Power Plants,PT PLN Indonesia Power - PLTGU Tambak Lorok Blok 3,"Semarang, Central Java",ID-JT,"[-6.950173, 110.431273]"
2025,Power Plants,PT PLN Nusantara Power - PLTU Punagaya (Takalar),"Jeneponto, South Sulawesi",ID-SN,"[-5.623461553889898, 119.54963494789013]"
2025,Power Plants,PT PLN Nusantara Power - PLTU Gorontalo Unit 1&2,Gorontalo,ID-GO,"[0.850573, 122.798485]"
2025,Power Plants,PT PLN Nusantara Power - PLTMG Sumbagut 2 Peaker (Arun),"Lhokseumawe, Aceh",ID-AC,"[5.216736, 97.089807]"
2025,Power Plants,PT PLN Batam - PLTG MPP Air Anyir,"Bangka, Bangka Belitung Islands",ID-BB,"[-2.076746, 106.148752]"
2025,Power Plants,PT PLN Batam - PLTG MPP Tarahan,Lampung,ID-LA,"[-5.518636, 105.345846]"
2025,Power Plants,PT PLN Batam - PLTG Punagaya,"Jeneponto, South Sulawesi",ID-SN,"[-5.372650, 119.330554]"
2025,Transmission & Distribution,PT PLN Batam - GI Batu Besar,"Batam, Riau Islands",ID-KR,"[1.098634, 104.084657]"
2025,Transmission & Distribution,PT PLN Batam - GI Tanjung Kasam,"Batam, Riau Islands",ID-KR,"[1.045511, 104.133121]"
2024,Coal Logistics,PT Pelayaran Bahtera Adhiguna (BAg),Jakarta,ID-JK,"[-6.135000646117177, 106.8119862408268]"
2023,Petrochemical,PT Petrokimia Gresik,"Gresik, East Java",ID-JI,"[-7.143540886173528, 112.63894108711997]"
2025,Coal Logistics,PT Pelayaran Bahtera Adhiguna (BAg),Jakarta,ID-JK,"[-6.135000646117177, 106.8119862408268]"
2021,Power Plants,PT PLN (Persero),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2021,Geothermal,PT Geo Dipa Energi (Persero),Jakarta,ID-JK,"[-6.274345050429179, 106.82959799664583]"
2022,Power Plants,PT PLN (Persero),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2024,Power Plants,PT PLN (Persero),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2025,Power Plants,PT PLN (Persero),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2022,Power Plants,PT PLN (Persero) - UIP Tanjung Jati B,"Jepara, Central Java",ID-JT,"[-6.445860687567678, 110.74165570917695]"
2022,Power Plants,PT PLN (Persero) - UIP Tanjung Jati B,"Jepara, Central Java",ID-JT,"[-6.445860687567678, 110.74165570917695]"
2025,Power Plants,PT PLN (Persero),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2021,Natural Gas Logistics,PT PLN Energi Gas,Jakarta,ID-JK,"[-6.240427562284667, 106.84121828315476]"
2021,Natural Gas Logistics,PT PLN Energi Gas,Jakarta,ID-JK,"[-6.240427562284667, 106.84121828315476]"
2023,Geothermal,PT Geo Dipa Energi (Persero),Jakarta,ID-JK,"[-6.274345050429179, 106.82959799664583]"
2021,Information & Communication Technology,PT Indonesia Comnets Plus ,Jakarta,ID-JK,"[-6.23355466968673, 106.82051016251519]"
2022,Information & Communication Technology,PT Indonesia Comnets Plus ,Jakarta,ID-JK,"[-6.23355466968673, 106.82051016251519]"
2022,Information & Communication Technology,PT Indonesia Comnets Plus ,Jakarta,ID-JK,"[-6.23355466968673, 106.82051016251519]"
2024,Natural Gas Logistics,PT PLN Energi Gas,Jakarta,ID-JK,"[-6.240427562284667, 106.84121828315476]"
2024,Geothermal,PT Geo Dipa Energi (Persero),Jakarta,ID-JK,"[-6.274345050429179, 106.82959799664583]"
2026,Outsourcing Provider,PT Citacontrac,Jakarta,ID-JK,"[-6.2885358652859304, 106.88050355431878]"
2025,Oil & Gas,Husky-CNOOC Madura Limited (HCML),Jakarta,ID-JK,"[-6.223576312938731, 106.80873872548186]"
2022,Geothermal,PT Geo Dipa Energi (Persero),Jakarta,ID-JK,"[-6.274345050429179, 106.82959799664583]"
2024,Geothermal,PT Geo Dipa Energi (Persero),Jakarta,ID-JK,"[-6.274345050429179, 106.82959799664583]"
2024,Coal Logistics,PT Pelayaran Bahtera Adhiguna (BAg),Jakarta,ID-JK,"[-6.135000646117177, 106.8119862408268]"
2022,Power Plants,PT PLN Batam,"Batam, Riau Islands",ID-KR,"[1.336614282917032, 104.04545437532482]"
2023,Coal Logistics,PT Pelayaran Bahtera Adhiguna (Bag),Jakarta,ID-JK,"[-6.135000646117177, 106.8119862408268]"
